state,Year,Month,group,covid,coverage,value
AK,2021,1,Pediatric,Suspected,hospital,728
AK,2021,1,Pediatric,Suspected,patients,4
AK,2021,2,Adult,Confirmed,hospital,654
AK,2021,2,Adult,Confirmed,patients,118
AK,2021,2,Adult,Suspected,hospital,654
AK,2021,2,Adult,Suspected,patients,62
AK,2021,2,Pediatric,Confirmed,hospital,654
AK,2021,2,Pediatric,Confirmed,patients,4
AK,2021,2,Pediatric,Suspected,hospital,654
AK,2021,2,Pediatric,Suspected,patients,0
AK,2021,3,Adult,Confirmed,hospital,724
AK,2021,3,Adult,Confirmed,patients,155
AK,2021,3,Adult,Suspected,hospital,724
AK,2021,3,Adult,Suspected,patients,38
AK,2021,3,Pediatric,Confirmed,hospital,724
AK,2021,3,Pediatric,Confirmed,patients,4
AK,2021,3,Pediatric,Suspected,hospital,724
AK,2021,3,Pediatric,Suspected,patients,2
AK,2021,4,Adult,Confirmed,hospital,704
AK,2021,4,Adult,Confirmed,patients,184
AK,2021,4,Adult,Suspected,hospital,704
AK,2021,4,Adult,Suspected,patients,37
AK,2021,4,Pediatric,Confirmed,hospital,704
AK,2021,4,Pediatric,Confirmed,patients,7
AK,2021,4,Pediatric,Suspected,hospital,704
AK,2021,4,Pediatric,Suspected,patients,5
AK,2021,5,Adult,Confirmed,hospital,726
AK,2021,5,Adult,Confirmed,patients,111
AK,2021,5,Adult,Suspected,hospital,726
AK,2021,5,Adult,Suspected,patients,27
AK,2021,5,Pediatric,Confirmed,hospital,726
AK,2021,5,Pediatric,Confirmed,patients,1
AK,2021,5,Pediatric,Suspected,hospital,726
AK,2021,5,Pediatric,Suspected,patients,0
AK,2021,6,Adult,Confirmed,hospital,697
AK,2021,6,Adult,Confirmed,patients,65
AK,2021,6,Adult,Suspected,hospital,697
AK,2021,6,Adult,Suspected,patients,15
AK,2021,6,Pediatric,Confirmed,hospital,697
AK,2021,6,Pediatric,Confirmed,patients,1
AK,2021,6,Pediatric,Suspected,hospital,697
AK,2021,6,Pediatric,Suspected,patients,1
AK,2021,7,Adult,Confirmed,hospital,724
AK,2021,7,Adult,Confirmed,patients,257
AK,2021,7,Adult,Suspected,hospital,724
AK,2021,7,Adult,Suspected,patients,13
AK,2021,7,Pediatric,Confirmed,hospital,724
AK,2021,7,Pediatric,Confirmed,patients,4
AK,2021,7,Pediatric,Suspected,hospital,724
AK,2021,7,Pediatric,Suspected,patients,9
AK,2021,8,Adult,Confirmed,hospital,724
AK,2021,8,Adult,Confirmed,patients,509
AK,2021,8,Adult,Suspected,hospital,724
AK,2021,8,Adult,Suspected,patients,50
AK,2021,8,Pediatric,Confirmed,hospital,724
AK,2021,8,Pediatric,Confirmed,patients,17
AK,2021,8,Pediatric,Suspected,hospital,724
AK,2021,8,Pediatric,Suspected,patients,12
AK,2021,9,Adult,Confirmed,hospital,704
AK,2021,9,Adult,Confirmed,patients,748
AK,2021,9,Adult,Suspected,hospital,704
AK,2021,9,Adult,Suspected,patients,61
AK,2021,9,Pediatric,Confirmed,hospital,704
AK,2021,9,Pediatric,Confirmed,patients,22
AK,2021,9,Pediatric,Suspected,hospital,704
AK,2021,9,Pediatric,Suspected,patients,10
AK,2021,10,Adult,Confirmed,hospital,728
AK,2021,10,Adult,Confirmed,patients,735
AK,2021,10,Adult,Suspected,hospital,728
AK,2021,10,Adult,Suspected,patients,41
AK,2021,10,Pediatric,Confirmed,hospital,728
AK,2021,10,Pediatric,Confirmed,patients,28
AK,2021,10,Pediatric,Suspected,hospital,728
AK,2021,10,Pediatric,Suspected,patients,15
AK,2021,11,Adult,Confirmed,hospital,700
AK,2021,11,Adult,Confirmed,patients,418
AK,2021,11,Adult,Suspected,hospital,700
AK,2021,11,Adult,Suspected,patients,40
AK,2021,11,Pediatric,Confirmed,hospital,700
AK,2021,11,Pediatric,Confirmed,patients,25
AK,2021,11,Pediatric,Suspected,hospital,700
AK,2021,11,Pediatric,Suspected,patients,12
AK,2021,12,Adult,Confirmed,hospital,728
AK,2021,12,Adult,Confirmed,patients,233
AK,2021,12,Adult,Suspected,hospital,728
AK,2021,12,Adult,Suspected,patients,35
AK,2021,12,Pediatric,Confirmed,hospital,728
AK,2021,12,Pediatric,Confirmed,patients,11
AK,2021,12,Pediatric,Suspected,hospital,728
AK,2021,12,Pediatric,Suspected,patients,5
AK,2022,1,Adult,Confirmed,hospital,727
AK,2022,1,Adult,Confirmed,patients,524
AK,2022,1,Adult,Suspected,hospital,727
AK,2022,1,Adult,Suspected,patients,56
AK,2022,1,Pediatric,Confirmed,hospital,727
AK,2022,1,Pediatric,Confirmed,patients,33
AK,2022,1,Pediatric,Suspected,hospital,727
AK,2022,1,Pediatric,Suspected,patients,29
AK,2022,2,Adult,Confirmed,hospital,656
AK,2022,2,Adult,Confirmed,patients,329
AK,2022,2,Adult,Suspected,hospital,656
AK,2022,2,Adult,Suspected,patients,44
AK,2022,2,Pediatric,Confirmed,hospital,656
AK,2022,2,Pediatric,Confirmed,patients,26
AK,2022,2,Pediatric,Suspected,hospital,656
AK,2022,2,Pediatric,Suspected,patients,16
AK,2022,3,Adult,Confirmed,hospital,725
AK,2022,3,Adult,Confirmed,patients,150
AK,2022,3,Adult,Suspected,hospital,725
AK,2022,3,Adult,Suspected,patients,33
AK,2022,3,Pediatric,Confirmed,hospital,725
AK,2022,3,Pediatric,Confirmed,patients,21
AK,2022,3,Pediatric,Suspected,hospital,725
AK,2022,3,Pediatric,Suspected,patients,10
AK,2022,4,Adult,Confirmed,hospital,705
AK,2022,4,Adult,Confirmed,patients,137
AK,2022,4,Adult,Suspected,hospital,705
AK,2022,4,Adult,Suspected,patients,9
AK,2022,4,Pediatric,Confirmed,hospital,705
AK,2022,4,Pediatric,Confirmed,patients,18
AK,2022,4,Pediatric,Suspected,hospital,705
AK,2022,4,Pediatric,Suspected,patients,6
AK,2022,5,Adult,Confirmed,hospital,724
AK,2022,5,Adult,Confirmed,patients,214
AK,2022,5,Adult,Suspected,hospital,724
AK,2022,5,Adult,Suspected,patients,5
AK,2022,5,Pediatric,Confirmed,hospital,724
AK,2022,5,Pediatric,Confirmed,patients,12
AK,2022,5,Pediatric,Suspected,hospital,724
AK,2022,5,Pediatric,Suspected,patients,4
AK,2022,6,Adult,Confirmed,hospital,704
AK,2022,6,Adult,Confirmed,patients,329
AK,2022,6,Adult,Suspected,hospital,704
AK,2022,6,Adult,Suspected,patients,15
AK,2022,6,Pediatric,Confirmed,hospital,704
AK,2022,6,Pediatric,Confirmed,patients,23
AK,2022,6,Pediatric,Suspected,hospital,704
AK,2022,6,Pediatric,Suspected,patients,11
AK,2022,7,Adult,Confirmed,hospital,728
AK,2022,7,Adult,Confirmed,patients,415
AK,2022,7,Adult,Suspected,hospital,728
AK,2022,7,Adult,Suspected,patients,15
AK,2022,7,Pediatric,Confirmed,hospital,728
AK,2022,7,Pediatric,Confirmed,patients,24
AK,2022,7,Pediatric,Suspected,hospital,728
AK,2022,7,Pediatric,Suspected,patients,13
AK,2022,8,Adult,Confirmed,hospital,723
AK,2022,8,Adult,Confirmed,patients,366
AK,2022,8,Adult,Suspected,hospital,723
AK,2022,8,Adult,Suspected,patients,21
AK,2022,8,Pediatric,Confirmed,hospital,723
AK,2022,8,Pediatric,Confirmed,patients,53
AK,2022,8,Pediatric,Suspected,hospital,723
AK,2022,8,Pediatric,Suspected,patients,13
AK,2022,9,Adult,Confirmed,hospital,682
AK,2022,9,Adult,Confirmed,patients,213
AK,2022,9,Adult,Suspected,hospital,682
AK,2022,9,Adult,Suspected,patients,6
AK,2022,9,Pediatric,Confirmed,hospital,682
AK,2022,9,Pediatric,Confirmed,patients,13
AK,2022,9,Pediatric,Suspected,hospital,682
AK,2022,9,Pediatric,Suspected,patients,8
AK,2022,10,Adult,Confirmed,hospital,689
AK,2022,10,Adult,Confirmed,patients,118
AK,2022,10,Adult,Suspected,hospital,689
AK,2022,10,Adult,Suspected,patients,18
AK,2022,10,Pediatric,Confirmed,hospital,689
AK,2022,10,Pediatric,Confirmed,patients,15
AK,2022,10,Pediatric,Suspected,hospital,689
AK,2022,10,Pediatric,Suspected,patients,3
AK,2022,11,Adult,Confirmed,hospital,681
AK,2022,11,Adult,Confirmed,patients,146
AK,2022,11,Adult,Suspected,hospital,681
AK,2022,11,Adult,Suspected,patients,21
AK,2022,11,Pediatric,Confirmed,hospital,681
AK,2022,11,Pediatric,Confirmed,patients,11
AK,2022,11,Pediatric,Suspected,hospital,681
AK,2022,11,Pediatric,Suspected,patients,9
AK,2022,12,Adult,Confirmed,hospital,691
AK,2022,12,Adult,Confirmed,patients,159
AK,2022,12,Adult,Suspected,hospital,691
AK,2022,12,Adult,Suspected,patients,15
AK,2022,12,Pediatric,Confirmed,hospital,691
AK,2022,12,Pediatric,Confirmed,patients,8
AK,2022,12,Pediatric,Suspected,hospital,691
AK,2022,12,Pediatric,Suspected,patients,8
AK,2023,1,Adult,Confirmed,hospital,682
AK,2023,1,Adult,Confirmed,patients,175
AK,2023,1,Adult,Suspected,hospital,682
AK,2023,1,Adult,Suspected,patients,7
AK,2023,1,Pediatric,Confirmed,hospital,682
AK,2023,1,Pediatric,Confirmed,patients,11
AK,2023,1,Pediatric,Suspected,hospital,682
AK,2023,1,Pediatric,Suspected,patients,2
AK,2023,2,Adult,Confirmed,hospital,616
AK,2023,2,Adult,Confirmed,patients,153
AK,2023,2,Adult,Suspected,hospital,616
AK,2023,2,Adult,Suspected,patients,4
AK,2023,2,Pediatric,Confirmed,hospital,616
AK,2023,2,Pediatric,Confirmed,patients,16
AK,2023,2,Pediatric,Suspected,hospital,616
AK,2023,2,Pediatric,Suspected,patients,9
AK,2023,3,Adult,Confirmed,hospital,682
AK,2023,3,Adult,Confirmed,patients,143
AK,2023,3,Adult,Suspected,hospital,682
AK,2023,3,Adult,Suspected,patients,35
AK,2023,3,Pediatric,Confirmed,hospital,682
AK,2023,3,Pediatric,Confirmed,patients,21
AK,2023,3,Pediatric,Suspected,hospital,682
AK,2023,3,Pediatric,Suspected,patients,13
AK,2023,4,Adult,Confirmed,hospital,660
AK,2023,4,Adult,Confirmed,patients,101
AK,2023,4,Adult,Suspected,hospital,660
AK,2023,4,Adult,Suspected,patients,31
AK,2023,4,Pediatric,Confirmed,hospital,660
AK,2023,4,Pediatric,Confirmed,patients,15
AK,2023,4,Pediatric,Suspected,hospital,660
AK,2023,4,Pediatric,Suspected,patients,9
AK,2023,5,Adult,Confirmed,hospital,672
AK,2023,5,Adult,Confirmed,patients,86
AK,2023,5,Adult,Suspected,hospital,672
AK,2023,5,Adult,Suspected,patients,43
AK,2023,5,Pediatric,Confirmed,hospital,672
AK,2023,5,Pediatric,Confirmed,patients,5
AK,2023,5,Pediatric,Suspected,hospital,672
AK,2023,5,Pediatric,Suspected,patients,51
AK,2023,6,Adult,Confirmed,hospital,637
AK,2023,6,Adult,Confirmed,patients,104
AK,2023,6,Adult,Suspected,hospital,453
AK,2023,6,Adult,Suspected,patients,10
AK,2023,6,Pediatric,Confirmed,hospital,637
AK,2023,6,Pediatric,Confirmed,patients,3
AK,2023,6,Pediatric,Suspected,hospital,453
AK,2023,6,Pediatric,Suspected,patients,1
AK,2023,7,Adult,Confirmed,hospital,668
AK,2023,7,Adult,Confirmed,patients,100
AK,2023,7,Adult,Suspected,hospital,349
AK,2023,7,Adult,Suspected,patients,3
AK,2023,7,Pediatric,Confirmed,hospital,668
AK,2023,7,Pediatric,Confirmed,patients,6
AK,2023,7,Pediatric,Suspected,hospital,349
AK,2023,7,Pediatric,Suspected,patients,0
AK,2023,8,Adult,Confirmed,hospital,674
AK,2023,8,Adult,Confirmed,patients,106
AK,2023,8,Adult,Suspected,hospital,310
AK,2023,8,Adult,Suspected,patients,0
AK,2023,8,Pediatric,Confirmed,hospital,674
AK,2023,8,Pediatric,Confirmed,patients,8
AK,2023,8,Pediatric,Suspected,hospital,310
AK,2023,8,Pediatric,Suspected,patients,0
AK,2023,9,Adult,Confirmed,hospital,655
AK,2023,9,Adult,Confirmed,patients,122
AK,2023,9,Adult,Suspected,hospital,297
AK,2023,9,Adult,Suspected,patients,0
AK,2023,9,Pediatric,Confirmed,hospital,655
AK,2023,9,Pediatric,Confirmed,patients,6
AK,2023,9,Pediatric,Suspected,hospital,297
AK,2023,9,Pediatric,Suspected,patients,0
AK,2023,10,Adult,Confirmed,hospital,604
AK,2023,10,Adult,Confirmed,patients,85
AK,2023,10,Adult,Suspected,hospital,277
AK,2023,10,Adult,Suspected,patients,3
AK,2023,10,Pediatric,Confirmed,hospital,604
AK,2023,10,Pediatric,Confirmed,patients,2
AK,2023,10,Pediatric,Suspected,hospital,277
AK,2023,10,Pediatric,Suspected,patients,2
AL,2020,1,Adult,Confirmed,hospital,0
AL,2020,1,Adult,Confirmed,patients,0
AL,2020,1,Adult,Suspected,hospital,0
AL,2020,1,Adult,Suspected,patients,0
AL,2020,1,Pediatric,Confirmed,hospital,0
AL,2020,1,Pediatric,Confirmed,patients,0
AL,2020,1,Pediatric,Suspected,hospital,0
AL,2020,1,Pediatric,Suspected,patients,0
AL,2020,2,Adult,Confirmed,hospital,0
AL,2020,2,Adult,Confirmed,patients,0
AL,2020,2,Adult,Suspected,hospital,0
AL,2020,2,Adult,Suspected,patients,0
AL,2020,2,Pediatric,Confirmed,hospital,0
AL,2020,2,Pediatric,Confirmed,patients,0
AL,2020,2,Pediatric,Suspected,hospital,0
AL,2020,2,Pediatric,Suspected,patients,0
AL,2020,3,Adult,Confirmed,hospital,0
AL,2020,3,Adult,Confirmed,patients,0
AL,2020,3,Adult,Suspected,hospital,0
AL,2020,3,Adult,Suspected,patients,0
AL,2020,3,Pediatric,Confirmed,hospital,0
AL,2020,3,Pediatric,Confirmed,patients,0
AL,2020,3,Pediatric,Suspected,hospital,0
AL,2020,3,Pediatric,Suspected,patients,0
AL,2020,4,Adult,Confirmed,hospital,0
AL,2020,4,Adult,Confirmed,patients,0
AL,2020,4,Adult,Suspected,hospital,0
AL,2020,4,Adult,Suspected,patients,0
AL,2020,4,Pediatric,Confirmed,hospital,0
AL,2020,4,Pediatric,Confirmed,patients,0
AL,2020,4,Pediatric,Suspected,hospital,0
AL,2020,4,Pediatric,Suspected,patients,0
AL,2020,5,Adult,Confirmed,hospital,0
AL,2020,5,Adult,Confirmed,patients,0
AL,2020,5,Adult,Suspected,hospital,0
AL,2020,5,Adult,Suspected,patients,0
AL,2020,5,Pediatric,Confirmed,hospital,0
AL,2020,5,Pediatric,Confirmed,patients,0
AL,2020,5,Pediatric,Suspected,hospital,0
AL,2020,5,Pediatric,Suspected,patients,0
AL,2020,6,Adult,Confirmed,hospital,0
AL,2020,6,Adult,Confirmed,patients,0
AL,2020,6,Adult,Suspected,hospital,0
AL,2020,6,Adult,Suspected,patients,0
AL,2020,6,Pediatric,Confirmed,hospital,0
AL,2020,6,Pediatric,Confirmed,patients,0
AL,2020,6,Pediatric,Suspected,hospital,0
AL,2020,6,Pediatric,Suspected,patients,0
AL,2020,7,Adult,Confirmed,hospital,1242
AL,2020,7,Adult,Confirmed,patients,2443
AL,2020,7,Adult,Suspected,hospital,1245
AL,2020,7,Adult,Suspected,patients,2041
AL,2020,7,Pediatric,Confirmed,hospital,983
AL,2020,7,Pediatric,Confirmed,patients,40
AL,2020,7,Pediatric,Suspected,hospital,978
AL,2020,7,Pediatric,Suspected,patients,102
AL,2020,8,Adult,Confirmed,hospital,2354
AL,2020,8,Adult,Confirmed,patients,3338
AL,2020,8,Adult,Suspected,hospital,2337
AL,2020,8,Adult,Suspected,patients,3097
AL,2020,8,Pediatric,Confirmed,hospital,3096
AL,2020,8,Pediatric,Confirmed,patients,62
AL,2020,8,Pediatric,Suspected,hospital,3094
AL,2020,8,Pediatric,Suspected,patients,168
AL,2020,9,Adult,Confirmed,hospital,3319
AL,2020,9,Adult,Confirmed,patients,3322
AL,2020,9,Adult,Suspected,hospital,3260
AL,2020,9,Adult,Suspected,patients,3822
AL,2020,9,Pediatric,Confirmed,hospital,3256
AL,2020,9,Pediatric,Confirmed,patients,38
AL,2020,9,Pediatric,Suspected,hospital,3256
AL,2020,9,Pediatric,Suspected,patients,144
AL,2020,10,Adult,Confirmed,hospital,3504
AL,2020,10,Adult,Confirmed,patients,4077
AL,2020,10,Adult,Suspected,hospital,3443
AL,2020,10,Adult,Suspected,patients,3549
AL,2020,10,Pediatric,Confirmed,hospital,3420
AL,2020,10,Pediatric,Confirmed,patients,47
AL,2020,10,Pediatric,Suspected,hospital,3441
AL,2020,10,Pediatric,Suspected,patients,186
AL,2020,11,Adult,Confirmed,hospital,3341
AL,2020,11,Adult,Confirmed,patients,5701
AL,2020,11,Adult,Suspected,hospital,3281
AL,2020,11,Adult,Suspected,patients,3493
AL,2020,11,Pediatric,Confirmed,hospital,3281
AL,2020,11,Pediatric,Confirmed,patients,48
AL,2020,11,Pediatric,Suspected,hospital,3281
AL,2020,11,Pediatric,Suspected,patients,200
AL,2020,12,Adult,Confirmed,hospital,3487
AL,2020,12,Adult,Confirmed,patients,11106
AL,2020,12,Adult,Suspected,hospital,3425
AL,2020,12,Adult,Suspected,patients,3686
AL,2020,12,Pediatric,Confirmed,hospital,3425
AL,2020,12,Pediatric,Confirmed,patients,87
AL,2020,12,Pediatric,Suspected,hospital,3425
AL,2020,12,Pediatric,Suspected,patients,207
AL,2021,1,Adult,Confirmed,hospital,3493
AL,2021,1,Adult,Confirmed,patients,11021
AL,2021,1,Adult,Suspected,hospital,3430
AL,2021,1,Adult,Suspected,patients,3907
AL,2021,1,Pediatric,Confirmed,hospital,3431
AL,2021,1,Pediatric,Confirmed,patients,84
AL,2021,1,Pediatric,Suspected,hospital,3431
AL,2021,1,Pediatric,Suspected,patients,364
AL,2021,2,Adult,Confirmed,hospital,3163
AL,2021,2,Adult,Confirmed,patients,4344
AL,2021,2,Adult,Suspected,hospital,3107
AL,2021,2,Adult,Suspected,patients,2796
AL,2021,2,Pediatric,Confirmed,hospital,3107
AL,2021,2,Pediatric,Confirmed,patients,76
AL,2021,2,Pediatric,Suspected,hospital,3107
AL,2021,2,Pediatric,Suspected,patients,229
AL,2021,3,Adult,Confirmed,hospital,3471
AL,2021,3,Adult,Confirmed,patients,2176
AL,2021,3,Adult,Suspected,hospital,3409
AL,2021,3,Adult,Suspected,patients,2589
AL,2021,3,Pediatric,Confirmed,hospital,3409
AL,2021,3,Pediatric,Confirmed,patients,30
AL,2021,3,Pediatric,Suspected,hospital,3409
AL,2021,3,Pediatric,Suspected,patients,229
AL,2021,4,Adult,Confirmed,hospital,3374
AL,2021,4,Adult,Confirmed,patients,1664
AL,2021,4,Adult,Suspected,hospital,3314
AL,2021,4,Adult,Suspected,patients,2489
AL,2021,4,Pediatric,Confirmed,hospital,3314
AL,2021,4,Pediatric,Confirmed,patients,44
AL,2021,4,Pediatric,Suspected,hospital,3314
AL,2021,4,Pediatric,Suspected,patients,231
AL,2021,5,Adult,Confirmed,hospital,3468
AL,2021,5,Adult,Confirmed,patients,1761
AL,2021,5,Adult,Suspected,hospital,3406
AL,2021,5,Adult,Suspected,patients,2210
AL,2021,5,Pediatric,Confirmed,hospital,3406
AL,2021,5,Pediatric,Confirmed,patients,54
AL,2021,5,Pediatric,Suspected,hospital,3406
AL,2021,5,Pediatric,Suspected,patients,344
AL,2021,6,Adult,Confirmed,hospital,3365
AL,2021,6,Adult,Confirmed,patients,888
AL,2021,6,Adult,Suspected,hospital,3305
AL,2021,6,Adult,Suspected,patients,1839
AL,2021,6,Pediatric,Confirmed,hospital,3305
AL,2021,6,Pediatric,Confirmed,patients,21
AL,2021,6,Pediatric,Suspected,hospital,3305
AL,2021,6,Pediatric,Suspected,patients,267
AL,2021,7,Adult,Confirmed,hospital,3501
AL,2021,7,Adult,Confirmed,patients,3960
AL,2021,7,Adult,Suspected,hospital,3439
AL,2021,7,Adult,Suspected,patients,2299
AL,2021,7,Pediatric,Confirmed,hospital,3439
AL,2021,7,Pediatric,Confirmed,patients,106
AL,2021,7,Pediatric,Suspected,hospital,3439
AL,2021,7,Pediatric,Suspected,patients,424
AL,2021,8,Adult,Confirmed,hospital,3544
AL,2021,8,Adult,Confirmed,patients,10531
AL,2021,8,Adult,Suspected,hospital,3482
AL,2021,8,Adult,Suspected,patients,2894
AL,2021,8,Pediatric,Confirmed,hospital,3482
AL,2021,8,Pediatric,Confirmed,patients,381
AL,2021,8,Pediatric,Suspected,hospital,3482
AL,2021,8,Pediatric,Suspected,patients,775
AL,2021,9,Adult,Confirmed,hospital,3431
AL,2021,9,Adult,Confirmed,patients,7335
AL,2021,9,Adult,Suspected,hospital,3371
AL,2021,9,Adult,Suspected,patients,3058
AL,2021,9,Pediatric,Confirmed,hospital,3371
AL,2021,9,Pediatric,Confirmed,patients,295
AL,2021,9,Pediatric,Suspected,hospital,3371
AL,2021,9,Pediatric,Suspected,patients,454
AL,2021,10,Adult,Confirmed,hospital,3544
AL,2021,10,Adult,Confirmed,patients,2306
AL,2021,10,Adult,Suspected,hospital,3483
AL,2021,10,Adult,Suspected,patients,2338
AL,2021,10,Pediatric,Confirmed,hospital,3483
AL,2021,10,Pediatric,Confirmed,patients,102
AL,2021,10,Pediatric,Suspected,hospital,3483
AL,2021,10,Pediatric,Suspected,patients,285
AL,2021,11,Adult,Confirmed,hospital,3425
AL,2021,11,Adult,Confirmed,patients,1168
AL,2021,11,Adult,Suspected,hospital,3366
AL,2021,11,Adult,Suspected,patients,2089
AL,2021,11,Pediatric,Confirmed,hospital,3366
AL,2021,11,Pediatric,Confirmed,patients,47
AL,2021,11,Pediatric,Suspected,hospital,3366
AL,2021,11,Pediatric,Suspected,patients,282
AL,2021,12,Adult,Confirmed,hospital,3548
AL,2021,12,Adult,Confirmed,patients,2126
AL,2021,12,Adult,Suspected,hospital,3487
AL,2021,12,Adult,Suspected,patients,2462
AL,2021,12,Pediatric,Confirmed,hospital,3487
AL,2021,12,Pediatric,Confirmed,patients,104
AL,2021,12,Pediatric,Suspected,hospital,3487
AL,2021,12,Pediatric,Suspected,patients,351
AL,2022,1,Adult,Confirmed,hospital,3541
AL,2022,1,Adult,Confirmed,patients,10355
AL,2022,1,Adult,Suspected,hospital,3478
AL,2022,1,Adult,Suspected,patients,2693
AL,2022,1,Pediatric,Confirmed,hospital,3480
AL,2022,1,Pediatric,Confirmed,patients,500
AL,2022,1,Pediatric,Suspected,hospital,3480
AL,2022,1,Pediatric,Suspected,patients,570
AL,2022,2,Adult,Confirmed,hospital,3204
AL,2022,2,Adult,Confirmed,patients,5028
AL,2022,2,Adult,Suspected,hospital,3150
AL,2022,2,Adult,Suspected,patients,2358
AL,2022,2,Pediatric,Confirmed,hospital,3150
AL,2022,2,Pediatric,Confirmed,patients,197
AL,2022,2,Pediatric,Suspected,hospital,3150
AL,2022,2,Pediatric,Suspected,patients,481
AL,2022,3,Adult,Confirmed,hospital,3539
AL,2022,3,Adult,Confirmed,patients,1051
AL,2022,3,Adult,Suspected,hospital,3477
AL,2022,3,Adult,Suspected,patients,2520
AL,2022,3,Pediatric,Confirmed,hospital,3477
AL,2022,3,Pediatric,Confirmed,patients,56
AL,2022,3,Pediatric,Suspected,hospital,3477
AL,2022,3,Pediatric,Suspected,patients,261
AL,2022,4,Adult,Confirmed,hospital,3433
AL,2022,4,Adult,Confirmed,patients,478
AL,2022,4,Adult,Suspected,hospital,3373
AL,2022,4,Adult,Suspected,patients,2565
AL,2022,4,Pediatric,Confirmed,hospital,3373
AL,2022,4,Pediatric,Confirmed,patients,20
AL,2022,4,Pediatric,Suspected,hospital,3373
AL,2022,4,Pediatric,Suspected,patients,242
