state,Year,Month,coverage,Variable,value
AK,2020,9,patients,inpatient_beds_used_covid,1431.0
AK,2020,10,hospital,inpatient_beds,702.0
AK,2020,10,hospital,inpatient_beds_used,707.0
AK,2020,10,hospital,inpatient_beds_used_covid,707.0
AK,2020,10,patients,inpatient_beds,47277.0
AK,2020,10,patients,inpatient_beds_used,29590.0
AK,2020,10,patients,inpatient_beds_used_covid,1991.0
AK,2020,11,hospital,inpatient_beds,697.0
AK,2020,11,hospital,inpatient_beds_used,697.0
AK,2020,11,hospital,inpatient_beds_used_covid,697.0
AK,2020,11,patients,inpatient_beds,46082.0
AK,2020,11,patients,inpatient_beds_used,28584.0
AK,2020,11,patients,inpatient_beds_used_covid,3965.0
AK,2020,12,hospital,inpatient_beds,727.0
AK,2020,12,hospital,inpatient_beds_used,727.0
AK,2020,12,hospital,inpatient_beds_used_covid,727.0
AK,2020,12,patients,inpatient_beds,48931.0
AK,2020,12,patients,inpatient_beds_used,28633.0
AK,2020,12,patients,inpatient_beds_used_covid,3872.0
AK,2021,1,hospital,inpatient_beds,728.0
AK,2021,1,hospital,inpatient_beds_used,728.0
AK,2021,1,hospital,inpatient_beds_used_covid,728.0
AK,2021,1,patients,inpatient_beds,49784.0
AK,2021,1,patients,inpatient_beds_used,27207.0
AK,2021,1,patients,inpatient_beds_used_covid,1999.0
AK,2021,2,hospital,inpatient_beds,654.0
AK,2021,2,hospital,inpatient_beds_used,654.0
AK,2021,2,hospital,inpatient_beds_used_covid,654.0
AK,2021,2,patients,inpatient_beds,44724.0
AK,2021,2,patients,inpatient_beds_used,28251.0
AK,2021,2,patients,inpatient_beds_used_covid,1073.0
AK,2021,3,hospital,inpatient_beds,724.0
AK,2021,3,hospital,inpatient_beds_used,724.0
AK,2021,3,hospital,inpatient_beds_used_covid,724.0
AK,2021,3,patients,inpatient_beds,49667.0
AK,2021,3,patients,inpatient_beds_used,28801.0
AK,2021,3,patients,inpatient_beds_used_covid,1118.0
AK,2021,4,hospital,inpatient_beds,704.0
AK,2021,4,hospital,inpatient_beds_used,704.0
AK,2021,4,hospital,inpatient_beds_used_covid,704.0
AK,2021,4,patients,inpatient_beds,48745.0
AK,2021,4,patients,inpatient_beds_used,29037.0
AK,2021,4,patients,inpatient_beds_used_covid,1346.0
AK,2021,5,hospital,inpatient_beds,726.0
AK,2021,5,hospital,inpatient_beds_used,726.0
AK,2021,5,hospital,inpatient_beds_used_covid,726.0
AK,2021,5,patients,inpatient_beds,50046.0
AK,2021,5,patients,inpatient_beds_used,32144.0
AK,2021,5,patients,inpatient_beds_used_covid,1011.0
AK,2021,6,hospital,inpatient_beds,697.0
AK,2021,6,hospital,inpatient_beds_used,697.0
AK,2021,6,hospital,inpatient_beds_used_covid,697.0
AK,2021,6,patients,inpatient_beds,47550.0
AK,2021,6,patients,inpatient_beds_used,29862.0
AK,2021,6,patients,inpatient_beds_used_covid,503.0
AK,2021,7,hospital,inpatient_beds,724.0
AK,2021,7,hospital,inpatient_beds_used,724.0
AK,2021,7,hospital,inpatient_beds_used_covid,724.0
AK,2021,7,patients,inpatient_beds,48965.0
AK,2021,7,patients,inpatient_beds_used,31951.0
AK,2021,7,patients,inpatient_beds_used_covid,1930.0
AK,2021,8,hospital,inpatient_beds,724.0
AK,2021,8,hospital,inpatient_beds_used,724.0
AK,2021,8,hospital,inpatient_beds_used_covid,724.0
AK,2021,8,patients,inpatient_beds,48961.0
AK,2021,8,patients,inpatient_beds_used,33025.0
AK,2021,8,patients,inpatient_beds_used_covid,3950.0
AK,2021,9,hospital,inpatient_beds,704.0
AK,2021,9,hospital,inpatient_beds_used,704.0
AK,2021,9,hospital,inpatient_beds_used_covid,704.0
AK,2021,9,patients,inpatient_beds,46267.0
AK,2021,9,patients,inpatient_beds_used,33235.0
AK,2021,9,patients,inpatient_beds_used_covid,6218.0
AK,2021,10,hospital,inpatient_beds,728.0
AK,2021,10,hospital,inpatient_beds_used,728.0
AK,2021,10,hospital,inpatient_beds_used_covid,728.0
AK,2021,10,patients,inpatient_beds,47920.0
AK,2021,10,patients,inpatient_beds_used,35569.0
AK,2021,10,patients,inpatient_beds_used_covid,6716.0
AK,2021,11,hospital,inpatient_beds,700.0
AK,2021,11,hospital,inpatient_beds_used,700.0
AK,2021,11,hospital,inpatient_beds_used_covid,700.0
AK,2021,11,patients,inpatient_beds,45962.0
AK,2021,11,patients,inpatient_beds_used,32975.0
AK,2021,11,patients,inpatient_beds_used_covid,3875.0
AK,2021,12,hospital,inpatient_beds,728.0
AK,2021,12,hospital,inpatient_beds_used,728.0
AK,2021,12,hospital,inpatient_beds_used_covid,728.0
AK,2021,12,patients,inpatient_beds,47871.0
AK,2021,12,patients,inpatient_beds_used,34588.0
AK,2021,12,patients,inpatient_beds_used_covid,2101.0
AK,2022,1,hospital,inpatient_beds,727.0
AK,2022,1,hospital,inpatient_beds_used,727.0
AK,2022,1,hospital,inpatient_beds_used_covid,727.0
AK,2022,1,patients,inpatient_beds,47119.0
AK,2022,1,patients,inpatient_beds_used,35212.0
AK,2022,1,patients,inpatient_beds_used_covid,3843.0
AK,2022,2,hospital,inpatient_beds,656.0
AK,2022,2,hospital,inpatient_beds_used,656.0
AK,2022,2,hospital,inpatient_beds_used_covid,656.0
AK,2022,2,patients,inpatient_beds,44059.0
AK,2022,2,patients,inpatient_beds_used,32973.0
AK,2022,2,patients,inpatient_beds_used_covid,3262.0
AK,2022,3,hospital,inpatient_beds,725.0
AK,2022,3,hospital,inpatient_beds_used,725.0
AK,2022,3,hospital,inpatient_beds_used_covid,725.0
AK,2022,3,patients,inpatient_beds,55350.0
AK,2022,3,patients,inpatient_beds_used,42864.0
AK,2022,3,patients,inpatient_beds_used_covid,1493.0
AK,2022,4,hospital,inpatient_beds,705.0
AK,2022,4,hospital,inpatient_beds_used,705.0
AK,2022,4,hospital,inpatient_beds_used_covid,705.0
AK,2022,4,patients,inpatient_beds,54387.0
AK,2022,4,patients,inpatient_beds_used,41032.0
AK,2022,4,patients,inpatient_beds_used_covid,789.0
AK,2022,5,hospital,inpatient_beds,724.0
AK,2022,5,hospital,inpatient_beds_used,724.0
AK,2022,5,hospital,inpatient_beds_used_covid,724.0
AK,2022,5,patients,inpatient_beds,55468.0
AK,2022,5,patients,inpatient_beds_used,42808.0
AK,2022,5,patients,inpatient_beds_used_covid,1244.0
AK,2022,6,hospital,inpatient_beds,704.0
AK,2022,6,hospital,inpatient_beds_used,704.0
AK,2022,6,hospital,inpatient_beds_used_covid,704.0
AK,2022,6,patients,inpatient_beds,53008.0
AK,2022,6,patients,inpatient_beds_used,40254.0
AK,2022,6,patients,inpatient_beds_used_covid,1768.0
AK,2022,7,hospital,inpatient_beds,728.0
AK,2022,7,hospital,inpatient_beds_used,728.0
AK,2022,7,hospital,inpatient_beds_used_covid,728.0
AK,2022,7,patients,inpatient_beds,52277.0
AK,2022,7,patients,inpatient_beds_used,39588.0
AK,2022,7,patients,inpatient_beds_used_covid,2338.0
AK,2022,8,hospital,inpatient_beds,723.0
AK,2022,8,hospital,inpatient_beds_used,723.0
AK,2022,8,hospital,inpatient_beds_used_covid,723.0
AK,2022,8,patients,inpatient_beds,56203.0
AK,2022,8,patients,inpatient_beds_used,44655.0
AK,2022,8,patients,inpatient_beds_used_covid,2604.0
AK,2022,9,hospital,inpatient_beds,682.0
AK,2022,9,hospital,inpatient_beds_used,682.0
AK,2022,9,hospital,inpatient_beds_used_covid,682.0
AK,2022,9,patients,inpatient_beds,51739.0
AK,2022,9,patients,inpatient_beds_used,41537.0
AK,2022,9,patients,inpatient_beds_used_covid,1447.0
AK,2022,10,hospital,inpatient_beds,689.0
AK,2022,10,hospital,inpatient_beds_used,689.0
AK,2022,10,hospital,inpatient_beds_used_covid,689.0
AK,2022,10,patients,inpatient_beds,52112.0
AK,2022,10,patients,inpatient_beds_used,41748.0
AK,2022,10,patients,inpatient_beds_used_covid,933.0
AK,2022,11,hospital,inpatient_beds,681.0
AK,2022,11,hospital,inpatient_beds_used,681.0
AK,2022,11,hospital,inpatient_beds_used_covid,681.0
AK,2022,11,patients,inpatient_beds,53576.0
AK,2022,11,patients,inpatient_beds_used,41973.0
AK,2022,11,patients,inpatient_beds_used_covid,893.0
AK,2022,12,hospital,inpatient_beds,691.0
AK,2022,12,hospital,inpatient_beds_used,691.0
AK,2022,12,hospital,inpatient_beds_used_covid,691.0
AK,2022,12,patients,inpatient_beds,48019.0
AK,2022,12,patients,inpatient_beds_used,37580.0
AK,2022,12,patients,inpatient_beds_used_covid,1106.0
AK,2023,1,hospital,inpatient_beds,682.0
AK,2023,1,hospital,inpatient_beds_used,682.0
AK,2023,1,hospital,inpatient_beds_used_covid,682.0
AK,2023,1,patients,inpatient_beds,42567.0
AK,2023,1,patients,inpatient_beds_used,32177.0
AK,2023,1,patients,inpatient_beds_used_covid,1088.0
AK,2023,2,hospital,inpatient_beds,616.0
AK,2023,2,hospital,inpatient_beds_used,616.0
AK,2023,2,hospital,inpatient_beds_used_covid,616.0
AK,2023,2,patients,inpatient_beds,37505.0
AK,2023,2,patients,inpatient_beds_used,28060.0
AK,2023,2,patients,inpatient_beds_used_covid,1049.0
AK,2023,3,hospital,inpatient_beds,682.0
AK,2023,3,hospital,inpatient_beds_used,682.0
AK,2023,3,hospital,inpatient_beds_used_covid,682.0
AK,2023,3,patients,inpatient_beds,41365.0
AK,2023,3,patients,inpatient_beds_used,30476.0
AK,2023,3,patients,inpatient_beds_used_covid,770.0
AK,2023,4,hospital,inpatient_beds,660.0
AK,2023,4,hospital,inpatient_beds_used,660.0
AK,2023,4,hospital,inpatient_beds_used_covid,660.0
AK,2023,4,patients,inpatient_beds,39861.0
AK,2023,4,patients,inpatient_beds_used,29403.0
AK,2023,4,patients,inpatient_beds_used_covid,581.0
AK,2023,5,hospital,inpatient_beds,672.0
AK,2023,5,hospital,inpatient_beds_used,672.0
AK,2023,5,hospital,inpatient_beds_used_covid,672.0
AK,2023,5,patients,inpatient_beds,40556.0
AK,2023,5,patients,inpatient_beds_used,28947.0
AK,2023,5,patients,inpatient_beds_used_covid,581.0
AK,2023,6,hospital,inpatient_beds,637.0
AK,2023,6,hospital,inpatient_beds_used,637.0
AK,2023,6,hospital,inpatient_beds_used_covid,451.0
AK,2023,6,patients,inpatient_beds,38382.0
AK,2023,6,patients,inpatient_beds_used,27664.0
AK,2023,6,patients,inpatient_beds_used_covid,491.0
AK,2023,7,hospital,inpatient_beds,668.0
AK,2023,7,hospital,inpatient_beds_used,668.0
AK,2023,7,hospital,inpatient_beds_used_covid,335.0
AK,2023,7,patients,inpatient_beds,40430.0
AK,2023,7,patients,inpatient_beds_used,29623.0
AK,2023,7,patients,inpatient_beds_used_covid,343.0
AK,2023,8,hospital,inpatient_beds,674.0
AK,2023,8,hospital,inpatient_beds_used,674.0
AK,2023,8,hospital,inpatient_beds_used_covid,316.0
AK,2023,8,patients,inpatient_beds,41712.0
AK,2023,8,patients,inpatient_beds_used,32105.0
AK,2023,8,patients,inpatient_beds_used_covid,266.0
AK,2023,9,hospital,inpatient_beds,655.0
AK,2023,9,hospital,inpatient_beds_used,655.0
AK,2023,9,hospital,inpatient_beds_used_covid,298.0
AK,2023,9,patients,inpatient_beds,40595.0
AK,2023,9,patients,inpatient_beds_used,30796.0
AK,2023,9,patients,inpatient_beds_used_covid,440.0
AK,2023,10,hospital,inpatient_beds,604.0
AK,2023,10,hospital,inpatient_beds_used,604.0
AK,2023,10,hospital,inpatient_beds_used_covid,282.0
AK,2023,10,patients,inpatient_beds,37534.0
AK,2023,10,patients,inpatient_beds_used,27889.0
AK,2023,10,patients,inpatient_beds_used_covid,285.0
AL,2020,1,hospital,inpatient_beds,31.0
AL,2020,1,hospital,inpatient_beds_used,0.0
AL,2020,1,hospital,inpatient_beds_used_covid,0.0
AL,2020,1,patients,inpatient_beds,186.0
AL,2020,1,patients,inpatient_beds_used,0.0
AL,2020,1,patients,inpatient_beds_used_covid,0.0
AL,2020,2,hospital,inpatient_beds,29.0
AL,2020,2,hospital,inpatient_beds_used,0.0
AL,2020,2,hospital,inpatient_beds_used_covid,0.0
AL,2020,2,patients,inpatient_beds,174.0
AL,2020,2,patients,inpatient_beds_used,0.0
AL,2020,2,patients,inpatient_beds_used_covid,0.0
AL,2020,3,hospital,inpatient_beds,180.0
AL,2020,3,hospital,inpatient_beds_used,129.0
AL,2020,3,hospital,inpatient_beds_used_covid,139.0
AL,2020,3,patients,inpatient_beds,13369.0
AL,2020,3,patients,inpatient_beds_used,3431.0
AL,2020,3,patients,inpatient_beds_used_covid,436.0
AL,2020,4,hospital,inpatient_beds,1658.0
AL,2020,4,hospital,inpatient_beds_used,1521.0
AL,2020,4,hospital,inpatient_beds_used_covid,1568.0
AL,2020,4,patients,inpatient_beds,237307.0
AL,2020,4,patients,inpatient_beds_used,115005.0
AL,2020,4,patients,inpatient_beds_used_covid,12274.0
AL,2020,5,hospital,inpatient_beds,1924.0
AL,2020,5,hospital,inpatient_beds_used,1805.0
AL,2020,5,hospital,inpatient_beds_used_covid,1862.0
AL,2020,5,patients,inpatient_beds,264114.0
AL,2020,5,patients,inpatient_beds_used,154781.0
AL,2020,5,patients,inpatient_beds_used_covid,13964.0
AL,2020,6,hospital,inpatient_beds,3536.0
AL,2020,6,hospital,inpatient_beds_used,3416.0
AL,2020,6,hospital,inpatient_beds_used_covid,3441.0
AL,2020,6,patients,inpatient_beds,422570.0
AL,2020,6,patients,inpatient_beds_used,272700.0
AL,2020,6,patients,inpatient_beds_used_covid,24821.0
AL,2020,7,hospital,inpatient_beds,3390.0
AL,2020,7,hospital,inpatient_beds_used,3321.0
AL,2020,7,hospital,inpatient_beds_used_covid,3211.0
AL,2020,7,patients,inpatient_beds,473661.0
AL,2020,7,patients,inpatient_beds_used,333801.0
AL,2020,7,patients,inpatient_beds_used_covid,53593.0
AL,2020,8,hospital,inpatient_beds,3436.0
AL,2020,8,hospital,inpatient_beds_used,3440.0
AL,2020,8,hospital,inpatient_beds_used_covid,3289.0
AL,2020,8,patients,inpatient_beds,483453.0
AL,2020,8,patients,inpatient_beds_used,344973.0
AL,2020,8,patients,inpatient_beds_used_covid,51250.0
AL,2020,9,hospital,inpatient_beds,3363.0
AL,2020,9,hospital,inpatient_beds_used,3363.0
AL,2020,9,hospital,inpatient_beds_used_covid,3260.0
AL,2020,9,patients,inpatient_beds,451072.0
AL,2020,9,patients,inpatient_beds_used,318026.0
AL,2020,9,patients,inpatient_beds_used_covid,29967.0
AL,2020,10,hospital,inpatient_beds,3448.0
AL,2020,10,hospital,inpatient_beds_used,3448.0
AL,2020,10,hospital,inpatient_beds_used_covid,3444.0
AL,2020,10,patients,inpatient_beds,467815.0
AL,2020,10,patients,inpatient_beds_used,342865.0
AL,2020,10,patients,inpatient_beds_used_covid,32047.0
AL,2020,11,hospital,inpatient_beds,3375.0
AL,2020,11,hospital,inpatient_beds_used,3375.0
AL,2020,11,hospital,inpatient_beds_used_covid,3281.0
AL,2020,11,patients,inpatient_beds,462384.0
AL,2020,11,patients,inpatient_beds_used,341191.0
AL,2020,11,patients,inpatient_beds_used_covid,43365.0
AL,2020,12,hospital,inpatient_beds,3543.0
AL,2020,12,hospital,inpatient_beds_used,3543.0
AL,2020,12,hospital,inpatient_beds_used_covid,3423.0
AL,2020,12,patients,inpatient_beds,480156.0
AL,2020,12,patients,inpatient_beds_used,363444.0
AL,2020,12,patients,inpatient_beds_used_covid,78493.0
AL,2021,1,hospital,inpatient_beds,3551.0
AL,2021,1,hospital,inpatient_beds_used,3551.0
AL,2021,1,hospital,inpatient_beds_used_covid,3431.0
AL,2021,1,patients,inpatient_beds,478246.0
AL,2021,1,patients,inpatient_beds_used,371259.0
AL,2021,1,patients,inpatient_beds_used_covid,90866.0
AL,2021,2,hospital,inpatient_beds,3204.0
AL,2021,2,hospital,inpatient_beds_used,3204.0
AL,2021,2,hospital,inpatient_beds_used_covid,3107.0
AL,2021,2,patients,inpatient_beds,428740.0
AL,2021,2,patients,inpatient_beds_used,320741.0
AL,2021,2,patients,inpatient_beds_used_covid,39065.0
AL,2021,3,hospital,inpatient_beds,3535.0
AL,2021,3,hospital,inpatient_beds_used,3535.0
AL,2021,3,hospital,inpatient_beds_used_covid,3409.0
AL,2021,3,patients,inpatient_beds,474651.0
AL,2021,3,patients,inpatient_beds_used,340836.0
AL,2021,3,patients,inpatient_beds_used_covid,17485.0
AL,2021,4,hospital,inpatient_beds,3443.0
AL,2021,4,hospital,inpatient_beds_used,3443.0
AL,2021,4,hospital,inpatient_beds_used_covid,3314.0
AL,2021,4,patients,inpatient_beds,461147.0
AL,2021,4,patients,inpatient_beds_used,332449.0
AL,2021,4,patients,inpatient_beds_used_covid,13254.0
AL,2021,5,hospital,inpatient_beds,3534.0
AL,2021,5,hospital,inpatient_beds_used,3534.0
AL,2021,5,hospital,inpatient_beds_used_covid,3406.0
AL,2021,5,patients,inpatient_beds,474549.0
AL,2021,5,patients,inpatient_beds_used,346408.0
AL,2021,5,patients,inpatient_beds_used_covid,13328.0
AL,2021,6,hospital,inpatient_beds,3419.0
AL,2021,6,hospital,inpatient_beds_used,3418.0
AL,2021,6,hospital,inpatient_beds_used_covid,3305.0
AL,2021,6,patients,inpatient_beds,457665.0
AL,2021,6,patients,inpatient_beds_used,336379.0
AL,2021,6,patients,inpatient_beds_used_covid,8793.0
AL,2021,7,hospital,inpatient_beds,3558.0
AL,2021,7,hospital,inpatient_beds_used,3558.0
AL,2021,7,hospital,inpatient_beds_used_covid,3439.0
AL,2021,7,patients,inpatient_beds,472290.0
AL,2021,7,patients,inpatient_beds_used,351765.0
AL,2021,7,patients,inpatient_beds_used_covid,21506.0
AL,2021,8,hospital,inpatient_beds,3598.0
AL,2021,8,hospital,inpatient_beds_used,3598.0
AL,2021,8,hospital,inpatient_beds_used_covid,3482.0
AL,2021,8,patients,inpatient_beds,471693.0
AL,2021,8,patients,inpatient_beds_used,373254.0
AL,2021,8,patients,inpatient_beds_used_covid,80950.0
AL,2021,9,hospital,inpatient_beds,3473.0
AL,2021,9,hospital,inpatient_beds_used,3472.0
AL,2021,9,hospital,inpatient_beds_used_covid,3371.0
AL,2021,9,patients,inpatient_beds,455080.0
AL,2021,9,patients,inpatient_beds_used,357868.0
AL,2021,9,patients,inpatient_beds_used_covid,73007.0
AL,2021,10,hospital,inpatient_beds,3604.0
AL,2021,10,hospital,inpatient_beds_used,3604.0
AL,2021,10,hospital,inpatient_beds_used_covid,3482.0
AL,2021,10,patients,inpatient_beds,469886.0
AL,2021,10,patients,inpatient_beds_used,351397.0
AL,2021,10,patients,inpatient_beds_used_covid,29318.0
AL,2021,11,hospital,inpatient_beds,3478.0
AL,2021,11,hospital,inpatient_beds_used,3478.0
AL,2021,11,hospital,inpatient_beds_used_covid,3366.0
AL,2021,11,patients,inpatient_beds,455302.0
AL,2021,11,patients,inpatient_beds_used,336528.0
AL,2021,11,patients,inpatient_beds_used_covid,13615.0
AL,2021,12,hospital,inpatient_beds,3601.0
AL,2021,12,hospital,inpatient_beds_used,3601.0
AL,2021,12,hospital,inpatient_beds_used_covid,3487.0
AL,2021,12,patients,inpatient_beds,470244.0
AL,2021,12,patients,inpatient_beds_used,349425.0
AL,2021,12,patients,inpatient_beds_used_covid,17470.0
AL,2022,1,hospital,inpatient_beds,3596.0
AL,2022,1,hospital,inpatient_beds_used,3596.0
AL,2022,1,hospital,inpatient_beds_used_covid,3480.0
AL,2022,1,patients,inpatient_beds,465457.0
AL,2022,1,patients,inpatient_beds_used,358756.0
AL,2022,1,patients,inpatient_beds_used_covid,76775.0
AL,2022,2,hospital,inpatient_beds,3249.0
AL,2022,2,hospital,inpatient_beds_used,3249.0
AL,2022,2,hospital,inpatient_beds_used_covid,3150.0
AL,2022,2,patients,inpatient_beds,420574.0
AL,2022,2,patients,inpatient_beds_used,324478.0
AL,2022,2,patients,inpatient_beds_used_covid,53640.0
AL,2022,3,hospital,inpatient_beds,3593.0
AL,2022,3,hospital,inpatient_beds_used,3593.0
AL,2022,3,hospital,inpatient_beds_used_covid,3477.0
AL,2022,3,patients,inpatient_beds,465424.0
AL,2022,3,patients,inpatient_beds_used,337116.0
AL,2022,3,patients,inpatient_beds_used_covid,13009.0
AL,2022,4,hospital,inpatient_beds,3475.0
AL,2022,4,hospital,inpatient_beds_used,3475.0
AL,2022,4,hospital,inpatient_beds_used_covid,3373.0
AL,2022,4,patients,inpatient_beds,449306.0
AL,2022,4,patients,inpatient_beds_used,318376.0
AL,2022,4,patients,inpatient_beds_used_covid,5159.0
AL,2022,5,hospital,inpatient_beds,3590.0
AL,2022,5,hospital,inpatient_beds_used,3590.0
AL,2022,5,hospital,inpatient_beds_used_covid,3463.0
AL,2022,5,patients,inpatient_beds,460539.0
AL,2022,5,patients,inpatient_beds_used,330316.0
AL,2022,5,patients,inpatient_beds_used_covid,5349.0
AL,2022,6,hospital,inpatient_beds,3477.0
AL,2022,6,hospital,inpatient_beds_used,3477.0
AL,2022,6,hospital,inpatient_beds_used_covid,3375.0
AL,2022,6,patients,inpatient_beds,444545.0
AL,2022,6,patients,inpatient_beds_used,325636.0
AL,2022,6,patients,inpatient_beds_used_covid,11648.0
AL,2022,7,hospital,inpatient_beds,3569.0
AL,2022,7,hospital,inpatient_beds_used,3570.0
AL,2022,7,hospital,inpatient_beds_used_covid,3478.0
AL,2022,7,patients,inpatient_beds,456407.0
AL,2022,7,patients,inpatient_beds_used,337322.0
AL,2022,7,patients,inpatient_beds_used_covid,23918.0
AL,2022,8,hospital,inpatient_beds,3527.0
AL,2022,8,hospital,inpatient_beds_used,3527.0
AL,2022,8,hospital,inpatient_beds_used_covid,3440.0
AL,2022,8,patients,inpatient_beds,452508.0
AL,2022,8,patients,inpatient_beds_used,341603.0
AL,2022,8,patients,inpatient_beds_used_covid,23676.0
AL,2022,9,hospital,inpatient_beds,3132.0
AL,2022,9,hospital,inpatient_beds_used,3132.0
AL,2022,9,hospital,inpatient_beds_used_covid,3059.0
AL,2022,9,patients,inpatient_beds,416834.0
AL,2022,9,patients,inpatient_beds_used,311397.0
AL,2022,9,patients,inpatient_beds_used_covid,15272.0
AL,2022,10,hospital,inpatient_beds,3180.0
AL,2022,10,hospital,inpatient_beds_used,3180.0
AL,2022,10,hospital,inpatient_beds_used_covid,3101.0
AL,2022,10,patients,inpatient_beds,423908.0
AL,2022,10,patients,inpatient_beds_used,312862.0
AL,2022,10,patients,inpatient_beds_used_covid,8446.0
AL,2022,11,hospital,inpatient_beds,3036.0
AL,2022,11,hospital,inpatient_beds_used,3035.0
AL,2022,11,hospital,inpatient_beds_used_covid,2948.0
AL,2022,11,patients,inpatient_beds,404728.0
AL,2022,11,patients,inpatient_beds_used,299996.0
AL,2022,11,patients,inpatient_beds_used_covid,8347.0
AL,2022,12,hospital,inpatient_beds,3076.0
AL,2022,12,hospital,inpatient_beds_used,3076.0
AL,2022,12,hospital,inpatient_beds_used_covid,2988.0
AL,2022,12,patients,inpatient_beds,413117.0
AL,2022,12,patients,inpatient_beds_used,306700.0
AL,2022,12,patients,inpatient_beds_used_covid,13753.0
AL,2023,1,hospital,inpatient_beds,3012.0
AL,2023,1,hospital,inpatient_beds_used,3012.0
AL,2023,1,hospital,inpatient_beds_used_covid,2950.0
AL,2023,1,patients,inpatient_beds,411955.0
AL,2023,1,patients,inpatient_beds_used,315551.0
AL,2023,1,patients,inpatient_beds_used_covid,18467.0
AL,2023,2,hospital,inpatient_beds,2732.0
AL,2023,2,hospital,inpatient_beds_used,2732.0
AL,2023,2,hospital,inpatient_beds_used_covid,2676.0
AL,2023,2,patients,inpatient_beds,374489.0
AL,2023,2,patients,inpatient_beds_used,286816.0
AL,2023,2,patients,inpatient_beds_used_covid,12617.0
AL,2023,3,hospital,inpatient_beds,3038.0
AL,2023,3,hospital,inpatient_beds_used,3038.0
AL,2023,3,hospital,inpatient_beds_used_covid,2976.0
AL,2023,3,patients,inpatient_beds,414711.0
AL,2023,3,patients,inpatient_beds_used,311552.0
AL,2023,3,patients,inpatient_beds_used_covid,8139.0
AL,2023,4,hospital,inpatient_beds,2945.0
AL,2023,4,hospital,inpatient_beds_used,2945.0
AL,2023,4,hospital,inpatient_beds_used_covid,2885.0
AL,2023,4,patients,inpatient_beds,400491.0
AL,2023,4,patients,inpatient_beds_used,296278.0
AL,2023,4,patients,inpatient_beds_used_covid,5528.0
AL,2023,5,hospital,inpatient_beds,3038.0
AL,2023,5,hospital,inpatient_beds_used,3038.0
AL,2023,5,hospital,inpatient_beds_used_covid,2976.0
AL,2023,5,patients,inpatient_beds,410152.0
AL,2023,5,patients,inpatient_beds_used,303073.0
AL,2023,5,patients,inpatient_beds_used_covid,4358.0
AL,2023,6,hospital,inpatient_beds,2950.0
AL,2023,6,hospital,inpatient_beds_used,2950.0
AL,2023,6,hospital,inpatient_beds_used_covid,1864.0
AL,2023,6,patients,inpatient_beds,395239.0
AL,2023,6,patients,inpatient_beds_used,291418.0
AL,2023,6,patients,inpatient_beds_used_covid,1836.0
AL,2023,7,hospital,inpatient_beds,3036.0
AL,2023,7,hospital,inpatient_beds_used,3036.0
AL,2023,7,hospital,inpatient_beds_used_covid,1172.0
AL,2023,7,patients,inpatient_beds,402953.0
AL,2023,7,patients,inpatient_beds_used,298056.0
AL,2023,7,patients,inpatient_beds_used_covid,981.0
AL,2023,8,hospital,inpatient_beds,3031.0
AL,2023,8,hospital,inpatient_beds_used,3031.0
AL,2023,8,hospital,inpatient_beds_used_covid,1141.0
AL,2023,8,patients,inpatient_beds,404139.0
